edep_keV,y_keV_um,z_mGy
0.807842,0.20196,1.14442
8.32657,2.08164,11.7957
0.0842737,0.0210684,0.119385
1.04113,0.260283,1.47491
1.09433,0.273582,1.55026
0.88951,0.222377,1.26011
0.560106,0.140027,0.793466
0.0455987,0.0113997,0.0645967
0.0927922,0.0231981,0.131453
0.857785,0.214446,1.21517
0.0931032,0.0232758,0.131893
0.393562,0.0983905,0.557534
1.64723,0.411808,2.33353
0.529,0.13225,0.7494
0.40424,0.10106,0.57266
8.32611,2.08153,11.7951
0.362105,0.0905263,0.512971
8.32428,2.08107,11.7925
1.76932,0.442331,2.50649
0.574635,0.143659,0.814048
0.890279,0.22257,1.2612
0.625273,0.156318,0.885784
0.344251,0.0860628,0.487678
0.142263,0.0355657,0.201534
0.908695,0.227174,1.28729
4.53635,1.13409,6.42635
0.477489,0.119372,0.676427
0.230219,0.0575547,0.326136
0.0535368,0.0133842,0.0758422
0.866964,0.216741,1.22817
0.0336952,0.0084238,0.0477338
3.35025,0.837563,4.74609
0.203565,0.0508913,0.288377
0.317808,0.079452,0.450218
0.218389,0.0545972,0.309378
0.0181405,0.00453513,0.0256985
13.5095,3.37736,19.138
0.819508,0.204877,1.16094
0.0471435,0.0117859,0.0667851
0.116517,0.0291293,0.165062
0.796104,0.199026,1.12779
2.65216,0.66304,3.75714
8.32556,2.08139,11.7943
0.721623,0.180406,1.02228
0.579523,0.144881,0.820973
0.890132,0.222533,1.26099
8.32542,2.08136,11.7941
0.907525,0.226881,1.28563
0.889762,0.22244,1.26047
8.3264,2.0816,11.7955
8.32699,2.08175,11.7963
1.08682,0.271705,1.53963
8.32517,2.08129,11.7937
8.32795,2.08199,11.7977
8.32628,2.08157,11.7953
0.38819,0.0970476,0.549924
0.287445,0.0718613,0.407205
0.431648,0.107912,0.611488
0.18263,0.0456574,0.25872
0.381271,0.0953177,0.540122
0.257588,0.064397,0.364908
0.926874,0.231719,1.31304
8.32739,2.08185,11.7969
3.07521,0.768803,4.35645
1.41412,0.353531,2.0033
8.32908,2.08227,11.7993
1.1613,0.290324,1.64513
0.891109,0.222777,1.26238
8.32733,2.08183,11.7968
0.908115,0.227029,1.28647
0.907767,0.226942,1.28597
2.84957,0.712392,4.0368
0.246505,0.0616261,0.349207
1.02963,0.257408,1.45861
11.4252,2.85631,16.1854
8.32728,2.08182,11.7967
0.0748087,0.0187022,0.105977
8.32791,2.08198,11.7976
0.509953,0.127488,0.722417
0.150119,0.0375298,0.212664
8.32419,2.08105,11.7923
0.580241,0.14506,0.82199
1.13193,0.282983,1.60354
6.7365,1.68412,9.54316
0.516154,0.129039,0.731202
8.32445,2.08111,11.7927
0.89022,0.222555,1.26112
1.02962,0.257404,1.45859
0.224143,0.0560358,0.317529
1.03044,0.25761,1.45976
0.890619,0.222655,1.26168
0.89056,0.22264,1.2616
0.296073,0.0740183,0.419428
0.751832,0.187958,1.06507
0.890689,0.222672,1.26178
8.32343,2.08086,11.7913
0.89084,0.22271,1.262
6.01915,1.50479,8.52694
0.908176,0.227044,1.28655
0.752516,0.188129,1.06604
0.89089,0.222723,1.26207
0.184087,0.0460216,0.260784
0.101465,0.0253663,0.143739
0.260882,0.0652206,0.369575
8.32578,2.08145,11.7946
0.237289,0.0593223,0.336152
0.613873,0.153468,0.869634
0.532296,0.133074,0.754069
8.32585,2.08146,11.7947
0.0994815,0.0248704,0.140929
0.703399,0.17585,0.99646
0.284266,0.0710664,0.402701
0.9019,0.225475,1.27766
0.312782,0.0781955,0.443098
0.103658,0.0259145,0.146846
0.10367,0.0259176,0.146863
